epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_precision,train_weighted_recall,train_weighted_f1,train_micro_precision,train_micro_recall,train_micro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_precision,val_macro_recall,val_macro_f1,val_weighted_precision,val_weighted_recall,val_weighted_f1,val_micro_precision,val_micro_recall,val_micro_f1
0,1.443915724,0.3528219267,0.3954790295,0.3911113058,0.3954790295,0.3223864217,0.5022757264,0.3528219267,0.3457310159,0.3528219267,0.3528219267,0.3528219267,2.036808035,0.364618501,0.5408976456,0.3303456344,0.5408976456,0.2755791873,0.774166073,0.364618501,0.4150661147,0.364618501,0.364618501,0.364618501
1,1.244126742,0.4303843659,0.4852271531,0.4501841928,0.4852271531,0.409548252,0.5505784641,0.4303843659,0.4308564508,0.4303843659,0.4303843659,0.4303843659,2.270199164,0.2835921675,0.4524538593,0.2932294591,0.4524538593,0.2257463331,0.7625616215,0.2835921675,0.3342480365,0.2835921675,0.2835921675,0.2835921675
2,1.142666775,0.4614012326,0.525020841,0.4876311338,0.525020841,0.4522715819,0.579806257,0.4614012326,0.4679899523,0.4614012326,0.4614012326,0.4614012326,1.817602963,0.4017555706,0.5569865377,0.3300168635,0.5569865377,0.3000446971,0.7679126667,0.4017555706,0.4618271743,0.4017555706,0.4017555706,0.4017555706
3,1.075345902,0.4857281868,0.5555445421,0.5086415425,0.5555445421,0.4791024093,0.5959646527,0.4857281868,0.4909310327,0.4857281868,0.4857281868,0.4857281868,1.684660415,0.4314652262,0.5559002921,0.3392802738,0.5559002921,0.330194968,0.7675403838,0.4314652262,0.491284736,0.4314652262,0.4314652262,0.4314652262
4,1.019482128,0.5072980863,0.578258365,0.5250732831,0.578258365,0.5034736393,0.6072083573,0.5072980863,0.5151276828,0.5072980863,0.5072980863,0.5072980863,1.550648304,0.4767049291,0.575040949,0.4240282675,0.575040949,0.4407490753,0.77375972,0.4767049291,0.5216828219,0.4767049291,0.4767049291,0.4767049291
5,0.975821264,0.5165423289,0.5891542557,0.540098974,0.5891542557,0.516384313,0.6175225024,0.5165423289,0.5230611803,0.5165423289,0.5165423289,0.5165423289,2.229744815,0.2727886563,0.5426206589,0.3156042638,0.5426206589,0.274046098,0.7569936498,0.2727886563,0.2890942566,0.2727886563,0.2727886563,0.2727886563
6,0.934310418,0.5274083685,0.6040211282,0.5467554354,0.6040211282,0.5272300665,0.6247372312,0.5274083685,0.5333644937,0.5274083685,0.5274083685,0.5274083685,1.49101528,0.4969615125,0.6169364967,0.359110278,0.6169364967,0.3848373719,0.7704003636,0.4969615125,0.550918148,0.4969615125,0.4969615125,0.4969615125
7,0.8999668558,0.5407476484,0.6207250518,0.5577109356,0.6207250518,0.5423314489,0.6316232797,0.5407476484,0.5451278056,0.5407476484,0.5407476484,0.5407476484,1.798438169,0.4206617151,0.5520199571,0.3576218025,0.5520199571,0.3622434074,0.7647564867,0.4206617151,0.4725291957,0.4206617151,0.4206617151,0.4206617151
8,0.8638666579,0.5521002271,0.6330487351,0.5676597986,0.6330487351,0.5540355302,0.6397276802,0.5521002271,0.5551642979,0.5521002271,0.5521002271,0.5521002271,1.479250886,0.4740040513,0.6069434927,0.3686188932,0.6069434927,0.3932191817,0.7665505273,0.4740040513,0.5237703286,0.4740040513,0.4740040513,0.4740040513
9,0.8500602605,0.5541274732,0.6350151958,0.5697855162,0.6350151958,0.5570006936,0.6398285204,0.5541274732,0.5568243654,0.5541274732,0.5541274732,0.5541274732,1.658572916,0.4395678596,0.6203691709,0.3526167667,0.6203691709,0.371758942,0.764658274,0.4395678596,0.4857263876,0.4395678596,0.4395678596,0.4395678596
10,0.8171819411,0.5722510542,0.6542602707,0.5866728166,0.6542602707,0.5774452937,0.6533198878,0.5722510542,0.5750633657,0.5722510542,0.5722510542,0.5722510542,1.650756992,0.5003376097,0.6366309773,0.4113943386,0.6366309773,0.4289015885,0.7838454141,0.5003376097,0.5545683788,0.5003376097,0.5003376097,0.5003376097
11,0.7930444628,0.5763866364,0.6588303677,0.5903633666,0.6588303677,0.5819120171,0.6549435882,0.5763866364,0.5784267437,0.5763866364,0.5763866364,0.5763866364,1.663369318,0.4773801485,0.6068528901,0.3560392584,0.6068528901,0.3788536282,0.7667412144,0.4773801485,0.5252087177,0.4773801485,0.4773801485,0.4773801485
12,0.7538774448,0.5941047681,0.6764582364,0.6072770602,0.6764582364,0.6029481525,0.6661680149,0.5941047681,0.595871679,0.5941047681,0.5941047681,0.5941047681,1.820939695,0.4112086428,0.6148674915,0.3421079953,0.6148674915,0.3508391795,0.7602220425,0.4112086428,0.453477226,0.4112086428,0.4112086428,0.4112086428
13,0.7401744667,0.5974294518,0.6812489037,0.6090394265,0.6812489037,0.6055979472,0.6669268011,0.5974294518,0.5968281709,0.5974294518,0.5974294518,0.5974294518,1.446988174,0.5145172181,0.6554919249,0.4068492152,0.6554919249,0.4384506381,0.7811318306,0.5145172181,0.563384646,0.5145172181,0.5145172181,0.5145172181
14,0.7114384378,0.6078089523,0.6925869333,0.620112369,0.6925869333,0.6185244298,0.6754760465,0.6078089523,0.6078580602,0.6078089523,0.6078089523,0.6078089523,1.323727313,0.5442268737,0.619206211,0.4306274916,0.619206211,0.4598191626,0.7746760247,0.5442268737,0.5954793466,0.5442268737,0.5442268737,0.5442268737
15,0.698803541,0.6076873175,0.6924727116,0.6195752229,0.6924727116,0.6173547127,0.6770355756,0.6076873175,0.6084296543,0.6076873175,0.6076873175,0.6076873175,1.865562643,0.4537474679,0.611946864,0.348043261,0.611946864,0.3599337316,0.7673740495,0.4537474679,0.5093937158,0.4537474679,0.4537474679,0.4537474679
16,0.6827830827,0.6172559196,0.7013943649,0.6320407872,0.7013943649,0.6294774682,0.6833548394,0.6172559196,0.6157868556,0.6172559196,0.6172559196,0.6172559196,1.30131328,0.5401755571,0.6474644577,0.4111292292,0.6474644577,0.4472043333,0.775662508,0.5401755571,0.5938659355,0.5401755571,0.5401755571,0.5401755571
17,0.6609651469,0.6241891015,0.7096074032,0.6376896068,0.7096074032,0.6371794561,0.6881147614,0.6241891015,0.6225117004,0.6241891015,0.6241891015,0.6241891015,1.465482636,0.5192437542,0.6549364422,0.4446812907,0.6549364422,0.4699000581,0.7830599573,0.5192437542,0.5689826999,0.5192437542,0.5192437542,0.5192437542
18,0.648919864,0.6234998378,0.709770218,0.637339746,0.709770218,0.6376505483,0.6861443596,0.6234998378,0.6219869558,0.6234998378,0.6234998378,0.6234998378,1.492019825,0.484132343,0.6434461875,0.3767670857,0.6434461875,0.4099326032,0.7686990736,0.484132343,0.530684184,0.484132343,0.484132343,0.484132343
19,0.6285450176,0.6355011353,0.7203812697,0.6518911717,0.7203812697,0.6510058248,0.6976410923,0.6355011353,0.6336912204,0.6355011353,0.6355011353,0.6355011353,1.536748237,0.4956110736,0.6213866438,0.4771953213,0.6213866438,0.4668786129,0.7910326669,0.4956110736,0.54362972,0.4956110736,0.4956110736,0.4956110736
20,0.6233354005,0.6365147584,0.7223522344,0.6514328594,0.7223522344,0.6523276946,0.6963897574,0.6365147584,0.6335700546,0.6365147584,0.6365147584,0.6365147584,1.368694034,0.5293720459,0.66666427,0.4239721336,0.66666427,0.4547718053,0.7862163642,0.5293720459,0.5802969339,0.5293720459,0.5293720459,0.5293720459
21,0.6153090322,0.6354200454,0.7237937573,0.6544657759,0.7237937573,0.6539133874,0.6966502376,0.6354200454,0.6327704174,0.6354200454,0.6354200454,0.6354200454,1.392805932,0.5347738015,0.6762258238,0.4399927459,0.6762258238,0.4760950176,0.7872797766,0.5347738015,0.577555754,0.5347738015,0.5347738015,0.5347738015
22,0.5901396329,0.6428397665,0.7307287547,0.6596985367,0.7307287547,0.6597550517,0.7031106581,0.6428397665,0.6391299955,0.6428397665,0.6428397665,0.6428397665,1.355737274,0.5354490209,0.6467599493,0.4382206343,0.6467599493,0.4745405728,0.7819268239,0.5354490209,0.5749675652,0.5354490209,0.5354490209,0.5354490209
23,0.5768928176,0.6474213428,0.7325882137,0.6650054325,0.7325882137,0.6653852218,0.7050436997,0.6474213428,0.6439112858,0.6474213428,0.6474213428,0.6474213428,1.42697128,0.5354490209,0.6815644482,0.4081989143,0.6815644482,0.4529190728,0.7812757052,0.5354490209,0.5844349008,0.5354490209,0.5354490209,0.5354490209
24,0.5691875281,0.6511514758,0.7398813073,0.6703509362,0.7398813073,0.6693482021,0.7108396413,0.6511514758,0.6472778239,0.6511514758,0.6511514758,0.6511514758,1.458341128,0.5239702903,0.6563261987,0.4234627003,0.6563261987,0.4563072239,0.7851401476,0.5239702903,0.5738466402,0.5239702903,0.5239702903,0.5239702903
25,0.5581590881,0.6585711969,0.7444819276,0.6747606792,0.7444819276,0.6780184741,0.7122587137,0.6585711969,0.654372414,0.6585711969,0.6585711969,0.6585711969,1.483814858,0.528021607,0.6259644608,0.4135319931,0.6259644608,0.4480286087,0.7818993012,0.528021607,0.5720249634,0.528021607,0.528021607,0.528021607
26,0.5662646707,0.6599497243,0.7440187272,0.6745799596,0.7440187272,0.6772078858,0.7155483918,0.6599497243,0.6565935152,0.6599497243,0.6599497243,0.6599497243,1.543739935,0.5010128292,0.6031570694,0.4174721932,0.6031570694,0.4362433871,0.7766546256,0.5010128292,0.5493598189,0.5010128292,0.5010128292,0.5010128292
27,0.5190756859,0.6727213753,0.7581565624,0.6926380263,0.7581565624,0.6954200186,0.723716994,0.6727213753,0.6685267584,0.6727213753,0.6727213753,0.6727213753,1.7522316,0.4429439568,0.6272313327,0.4431948295,0.6272313327,0.4353566449,0.7876890473,0.4429439568,0.4808276926,0.4429439568,0.4429439568,0.4429439568
28,0.5285992346,0.6658287382,0.7516317064,0.6848335552,0.7516317064,0.6866533631,0.7196940379,0.6658287382,0.6609210339,0.6658287382,0.6658287382,0.6658287382,1.299544461,0.5739365294,0.6854863063,0.4670685728,0.6854863063,0.5065429729,0.7949259596,0.5739365294,0.6195343357,0.5739365294,0.5739365294,0.5739365294
29,0.5125198234,0.6743837172,0.7606910252,0.6938789934,0.7606910252,0.6974200205,0.7248284582,0.6743837172,0.6693804464,0.6743837172,0.6743837172,0.6743837172,1.415027825,0.5516542876,0.6885303023,0.4817616778,0.6885303023,0.5169697979,0.7921281118,0.5516542876,0.5937714461,0.5516542876,0.5516542876,0.5516542876
